reservation_id,guest_name,gross_bdt,paid_total_bdt,balance_due_bdt,real_paid_after_dedup_bdt,ledger_payment_bdt,ledger_charge_bdt,resv_total_bdt,action,recommendation
5c6075f5-ab0b-41b2-b55d-149ce5c60e1d,,4000,4160,-160,4160,160,160,4000,GROSS_UNDERSYNC_confirm_charges,Extra 160 -> raise gross to 4160
e8b9db6f-1b23-4fb8-8738-2b4e4e5d5b36,,4000,4160,-160,8160,0,160,4000,GROSS_UNDERSYNC_confirm_charges,real_paid 8160 inflated — check dups
7322dd22-11eb-4062-88fb-9f71d38ca140,,4500,4640,-140,9140,0,140,4500,GROSS_UNDERSYNC_confirm_charges,real_paid 9140 inflated — check dups
81ed2b52-eeb8-407e-b78b-5816c4de919a,,3500,3620,-120,7400,120,160,3500,GROSS_UNDERSYNC_confirm_charges,real_paid 7400 inflated — check dups
a6efd2ed-d0ac-4000-8178-eb2f4c0399b3,,4000,4110,-110,0,100,160,4000,GL_DISAGREE_manual,Payment only in ledger; pt=0 — do NOT lower paid
0b36335f-84d0-4c51-989b-e6a34fc6352a,,3000,3100,-100,6100,3000,100,3000,GROSS_UNDERSYNC_confirm_charges,Mixed sources — verify
d980f136-774f-49d4-b6d7-2aef86147d6b,,4000,4100,-100,0,100,100,4000,GL_DISAGREE_manual,Payment only in ledger; pt=0 — do NOT lower paid
c64bbb0f-33a2-4c3d-bb7b-aed5eb7fd564,,4000,4100,-100,8100,0,100,4000,GROSS_UNDERSYNC_confirm_charges,real_paid 8100 inflated — check dups
3387079c-1622-472c-a182-c3641e080d05,,4000,4100,-100,4100,100,100,4000,GROSS_UNDERSYNC_confirm_charges,Extra 100 -> raise gross to 4100
2b8e1544-f335-4215-a49f-9859d7b86c02,,4100,4200,-100,0,100,160,4100,GL_DISAGREE_manual,Payment only in ledger; pt=0 — do NOT lower paid
c5e02feb-d90f-4a0a-86b3-37a0cd1fbfba,,4000,4099,-99,8198,4000,99,4000,GROSS_UNDERSYNC_confirm_charges,Mixed — verify
e7dc158c-f2f4-4eb2-9db7-0fe54105fc66,,3000,3080,-80,0,80,80,3000,GL_DISAGREE_manual,Payment only in ledger; pt=0 — do NOT lower paid
229486b1-4364-4395-b7f0-666db84be862,,4500,4560,-60,4560,60,60,4500,GROSS_UNDERSYNC_confirm_charges,Extra 60 -> raise gross to 4560
427031e2-df6c-4aa2-9270-311f64bb5001,,3500,3560,-60,0,60,160,3500,GL_DISAGREE_manual,Payment only in ledger; pt=0 — do NOT lower paid
e35fb40f-31de-4864-91b4-6ca2ebeaf7fd,,4500,4550,-50,4550,0,50,4500,GROSS_UNDERSYNC_confirm_charges,Extra 50 -> raise gross to 4550
