hotel_name,city,area,rooms,category,phone,whatsapp,email,website,facebook_url,address,owner_name,manager_name,source,score,notes
Hotel Blue Bird,Dhaka,Uttara,,business,,,,https://hotelbluebirdbd.com,https://www.facebook.com/hotelbluebirdbd/,House 06 Lake Drive Road Sector 07 Uttara Dhaka 1230,,,own website,78,phone not verified from published source
Nascent Gardenia Suites,Dhaka,Gulshan,,business,+8801780016464,,,https://suites.nascenthotels.com,,House 28 Road 83 Gulshan Circle 2 Dhaka 1212,,,bd business directory,78,part of small Nascent group
Hotel Sweet Dream,Dhaka,Banani,30,business,,,,https://hotelsweetdream.com,https://www.facebook.com/hsddhaka/,60 Kemal Ataturk Avenue Banani Dhaka 1213,,,own website,78,30 rooms stated on own site; no phone published
Rose Wood Residence,Dhaka,Gulshan,,apartment,+8801713435351,,,,,House 6/A Road 13 Gulshan 1 Dhaka 1212,,,bd business directory,76,serviced residence
Hotel Lake Breeze,Dhaka,Gulshan,,business,+88028828146,,,,https://www.facebook.com/p/Hotel-Lake-Breeze-100050556025199/,House 15 Road 42 Gulshan 2 Dhaka 1212,,,bd business directory,76,landline may be outdated
Hotel Quality Inn,Dhaka,Gulshan,,business,+88029881886,,,,,House 6 Road 50 Gulshan 2 Dhaka 1212,,,bd business directory,76,independent
Hotel Orchard Plaza,Dhaka,Naya Paltan,,business,+88029330829,,,https://www.hotelorchardplaza.com,,71 Nayapaltan VIP Road Paltan Dhaka 1000,,,bd business directory,76,dated static website
Hotel The Rahmania International,Dhaka,Motijheel,,budget,+8801868502968,,,,,28/1/C Toyenbee Circular Road Motijheel Dhaka 1000,,,bd business directory,76,mobile-only contact
Century Park Hotel,Dhaka,Gulshan,,business,+8801712189235,,,,,House 36 Road 117 Gulshan 1 Dhaka 1212,,,bd business directory,75,independent
Platinum Grand,Dhaka,Banani,,business,+8801922110993,,reservation@platinumhotels.com.bd,https://platinumhotels.com.bd,,House 52 Road 11 Block F Banani Dhaka 1213,,,own website,75,two-property Sheltech group
Platinum Residence,Dhaka,Uttara,,business,+8801966615592,,reservation1@platinumhotels.com.bd,https://platinumhotels.com.bd,,House 42 Road 20/C Sector 4 Uttara Dhaka 1230,,,own website,75,sister of Platinum Grand
Hotel Center Point,Dhaka,Gulshan,,business,+88029893227,,,,,House 2/A Road 95 Gulshan 2 Dhaka 1212,,,bd business directory,74,many landlines listed; no site found
Grand Oriental Hotel Dhaka,Dhaka,Gulshan,,business,+88029894930,,,,,Plot 1/B Road 23 Gulshan 1 Dhaka 1212,,,bd business directory,74,independent
Hotel Swiss Park,Dhaka,Banani,,business,+88029889212,,,,,House 62 Road 15 Block C Banani Dhaka 1213,,,bd business directory,74,independent
Grand Dhaka Hotel,Dhaka,Uttara,,business,+88028919720,,,,,House 8/A Road 7/D Section 9 Uttara Dhaka 1230,,,bd business directory,74,independent
Bengal Inn,Dhaka,Gulshan,,business,+88029880236,,,,,House 7 Road 16 Gulshan 1 Dhaka 1212,,,bd business directory,72,small independent inn
Hotel Farmgate,Dhaka,Farmgate,,budget,+8801712848394,,,,,82 West Tejturi Bazar Farmgate Dhaka 1215,,,bd business directory,72,budget city hotel
Hotel Skylink,Dhaka,Uttara,,business,,,,,https://www.facebook.com/hotelskylink/,Plot 33 Road 14 Sector 13 Uttara Dhaka 1230,,,dhakahotels directory,72,phone not verified
Rafflesia Serviced Apartments,Dhaka,Gulshan,,apartment,+8801708515246,+8801708515246,sales@rafflesiabd.com,https://www.rafflesiabd.com,,House 2 Road 22 and 23 Gulshan 1 Dhaka 1212,,,own website,72,serviced apartment operator
Rigs Inn,Dhaka,Gulshan,,business,+88029845055,,,,,House 09 Road 23/A Gulshan 1 Dhaka 1212,,,bd business directory,70,older independent property
Hotel Washington,Dhaka,Gulshan,,business,+88029851467,,,,,56 Gulshan Avenue Road 132 Gulshan 1 Dhaka 1212,,,bd business directory,70,independent
Eastern House,Dhaka,Gulshan,,apartment,+88029887370,,,,,House 04 Road 24 Gulshan 1 Dhaka 1212,,,bd business directory,70,serviced residence
Hotel Purbani International,Dhaka,Motijheel,,business,,,,,https://www.facebook.com/hotel.purbani.ltd/,1 Dilkusha Motijheel Dhaka 1000,,,dhakahotels directory,70,long-established CBD hotel; phone unverified
Hotel The Capital,Dhaka,Naya Paltan,120,business,+8801721595568,,,http://hotelthecapitaldhaka.com,,69 Naya Paltan VIP Road Dhaka 1000,,,own website,70,120 plus rooms so larger than ideal
Holiday Villa GRAM,Dhaka,Gulshan,,apartment,+88029899258,,,,,House SW E 1A/2 Road 7 Gulshan Model Town Dhaka 1212,,,bd business directory,68,serviced apartment
Contemporary Heights,Dhaka,Baridhara,,apartment,+88029861872,,,,,Plot 21 Road 1/A Block J Baridhara Dhaka 1212,,,bd business directory,68,serviced apartment
Babylon Garden Furnished Apartments,Dhaka,Baridhara,,apartment,+88028411122,,,,,House 319 Eastern Road Lane 4 Baridhara DOHS Dhaka 1206,,,bd business directory,66,furnished apartments
NAAS Service Apartment,Dhaka,Dhanmondi,,apartment,+88029140551,,,,,Paril Green 2nd Floor 165-166 Green Road Dhaka 1205,,,bd business directory,66,serviced apartment
Long Beach Suites Dhaka,Dhaka,Gulshan,101,business,+8801730338900,,,https://www.longbeachsuitesbd.com,https://www.facebook.com/longbeachsuites/,House CEN 4 G Road 104 Gulshan 2 Dhaka 1212,,,bd business directory,60,101 keys; larger than target band
Six Seasons Hotel,Dhaka,Gulshan,,business,+8801955393291,,info@sixseasonshotel.com,https://sixseasonshotel.com,,House 19 Road 96 Gulshan 2 Dhaka 1212,,,own website,60,upscale independent; likely already has a PMS
Hotel Sarina,Dhaka,Banani,180,business,+8801730020313,,,https://www.sarinahotel.com,https://www.facebook.com/HotelSarinaDhaka/,Plot 27 Road 17 Banani C/A Dhaka 1213,,,own website,40,180 keys; too large for target profile
Grace Cox Smart Hotel,Coxs Bazar,Kolatoli,70,business,+8801700707788,,reservation@hotelgracecox.com,https://hotelgracecox.com,https://www.facebook.com/Hotelgracecox-207126296760937/,Plot 22 Block C Kolatoli Sea Beach Road,,,own website,95,70 rooms across 5 types; ideal size
Windy Terrace Boutique Hotel,Coxs Bazar,Kolatoli,,boutique,+8801752360675,,info@windyterrace.com,https://www.windyterrace.com,https://www.facebook.com/WindyTerraceCoxs/,Plot 39-40 Block C Kolatoli,,,own website,93,self-described boutique; four published booking lines
Hotel Beach Way,Coxs Bazar,Kolatoli,58,business,+8801777909595,,infohotelbeachway@gmail.com,https://hotelbeachway.com,https://www.facebook.com/HotelBeachWay,House 21 Block C Kolatoli Road,,,own website,92,58 guestrooms; gmail address suggests paper-run ops
Praasad Paradise Hotel and Resorts Ltd,Coxs Bazar,Hotel Motel Zone,84,resort,+8801556347711,+8801556347711,info@praasadparadise.com.bd,https://praasadparadise.com.bd,,Plot 9 New Beach Road Hotel-Motel Zone,,,own website,90,44 hotel rooms plus 40 cottage rooms
Hotel Sea Uttara,Coxs Bazar,Kolatoli,,business,+8801875000020,,info@seauttara.com,https://www.seauttara.com,https://www.facebook.com/hotelseauttara/,Dolphin Circle Beach Road Kolatoli,,,own website,90,8 room types listed; two emails published
Neeshorgo Hotel and Resort Ltd,Coxs Bazar,Marine Drive,,resort,+8801780077056,+8801617834401,neeshorgocox@gmail.com,https://neeshorgo.com.bd,,Plot 492 Marine Drive Road,,,own website,88,publishes a dedicated WhatsApp line
Sea Crown Hotel,Coxs Bazar,Marine Drive,,business,+8801817089420,,reservation@hotelseacrownbd.com,https://hotelseacrownbd.com,https://www.facebook.com/hotelseacrown/,Marine Drive Kolatoli New Beach,,,own website,88,three-star; Dhaka and Mymensingh sales offices
Divine Eco Resort,Coxs Bazar,Kolatoli,,resort,+8801958054411,+8801958054412,stay@divineecoresort.net,https://divineecoresort.net,https://www.facebook.com/DivineEcoResortOfficial,Kolatoli Beach near Kolatoli Circle,,,own website,88,villa and suite mix; manual availability counts on site
Hotel Sea Cox,Coxs Bazar,Kolatoli,,business,+8801616200500,,,https://hotelseacox.com,https://www.facebook.com/seacoxbd,Plot 13 Block B New Beach Rd near Kolatoli More,,,own website,86,9 room types; no email published
Laguna Beach Hotel and Resort,Coxs Bazar,Sugandha,,resort,+8801889334434,,,https://www.lagunabeachhotelandresort.com,,Plot 39 Block B Sugandha Point Kolatoli,,,own website,86,own booking site live
Muscat Holiday Resort,Coxs Bazar,Kolatoli,,resort,+8801731009229,,,https://www.muscatholidayresort.com,,Block A Plot 58 Kolatoli Road,,,own website,86,three-star independent
Hotel Coral Reef,Coxs Bazar,Sugandha,,business,+8801818080651,+8801551000012,,https://hotelcoralreef.com.bd,,Plot 47 Block B Kalatoli Road Sugandha Point,,,own website,86,site TLS cert misconfigured; likely weak IT
Hill Tower Hotel and Resort,Coxs Bazar,Kolatoli,,business,+8801322889895,,info@hotelhilltower.com,https://www.hotelhilltower.com,,Block B Plot 60 Kalatoli opposite Sea Palace,,,own website,85,10 floors with conference room
Hotel Elaf International,Coxs Bazar,Sugandha,,business,+8801726000077,,,https://www.hotelelafinternational.com,,Plot 52 Block B Sugandha Road,,,own website,85,three-star independent
Nitol Bay Resort,Coxs Bazar,Kolatoli,37,resort,,+8801844662069,,,,Plot 13-14-17 Block C Kolatoli Beach Road,,,coxsbazar.net listing,85,37 rooms confirmed; no own website
Hotel Ocean Palace,Coxs Bazar,Kolatoli,,business,+8801841122446,,,https://www.hoteloceanpalace.com,,Plot 15/A Block C Kolatoli Beach Road,,,own website,84,two phone lines published; no email
Hotel White Beach,Coxs Bazar,Kolatoli,,business,+8801832060933,,,https://www.hotelwhitebeachcox.com,,Block A Plot 17 Main Road Kalatali,,,own website,84,shares site with Impulse Ocean View brand
Hotel Sea Alif,Coxs Bazar,Kolatoli,,business,+8801988330000,,,https://www.hotelseaalifcoxsbazar.com,,Kolatoli Coxs Bazar,,,own website,84,three-star budget-to-mid positioning
Castle Bay Touch,Coxs Bazar,Sugandha,,business,+8801713488825,+8801713488860,,https://castlebaytouch.com,,Plot 63 Block B PWD Housing Kolatoli Sugandha Point,,,own website,82,hall room plus two suite types
Nilima Beach Resort,Coxs Bazar,Sugandha,,resort,+8801831878833,+8801831878833,,,,Sea In Point Sugandha Beach,,,directory listing,82,same number published as WhatsApp booking
World Beach Resort,Coxs Bazar,Marine Drive,,resort,,+8801741995584,,https://www.worldbeachresortcoxsbazar.com,,Marine Drive Road Coxs Bazar,,,own website,82,WhatsApp-first booking
Hotel Mishuk,Coxs Bazar,Laboni,,business,+8801721161258,+8801715946471,,https://www.hotelmishuk.com,,Laboni Point Sea Beach Road,,,own website,82,long-standing Laboni property
Shopno Bilash Holiday Suites,Coxs Bazar,Kolatoli,,apartment,+8801793100000,,,https://shopnobilash.com,,Block A Plot A Kolatoli R/A,,,own website,80,suite-style apartments; no email published
Hotel Kollol by J and Z Group,Coxs Bazar,Laboni,100,resort,+8801886777711,+8801886777711,reservation@hotelkollolbd.com,https://hotelkollolbd.com,https://www.facebook.com/hotelkollolbyjandz,Laboni Point Coxs Bazar 4700,,,own website,80,100 plus rooms; upper edge of target size
Sea Welcome Resort,Coxs Bazar,Kolatoli,,resort,+8801823448448,,,,,Plot 22 Kolatoli Road Block A,,,directory listing,80,single published booking line
Hotel Vista Bay,Coxs Bazar,Sugandha,,business,+8801678090990,,,,,Plot 50 Road 2 Block B Sugandha Point,,,directory listing,80,hunting range of extension numbers 90-99
Rain View Resort,Coxs Bazar,Kolatoli,,resort,+8801682100399,+8801682100399,,,,Sea Beach Road Dolphin More Kolatoli,,,directory listing,80,same line used for WhatsApp
Royal Beach Resort,Coxs Bazar,Kolatoli,,resort,+8801708777772,,,,,Plot B 64 PWD Hotel Zone Kolatoli,,,directory listing,80,block of 4 sequential lines
Hotel Regal Palace,Coxs Bazar,Sugandha,,business,+8801872366366,,,,,Plot 48 Block B Sugandha Point Kolatoli,,,directory listing,80,independent Sugandha property
Prime Park Hotel,Coxs Bazar,Hotel Motel Zone,,business,+8801775609915,,,,,Plot 58 Block C Hotel Motel Zone Kalatoli,,,directory listing,80,also lists a landline
Bashati Bay Resort,Coxs Bazar,Kolatoli,,resort,+8801321143588,,,,,Plot 3 Block C Saikat R/A Kolatali Road,,,directory listing,80,independent mid-size
Hotel Coxs Hilton,Coxs Bazar,Sugandha,,business,+8801322889898,,,,,Block B Plot 25 Sugandha Point Kalatoli Road,,,directory listing,80,no relation to Hilton chain
Hotel Golden Hill,Coxs Bazar,Sugandha,,business,+8801313708031,+8801818195412,,,,House 65 Block B Sugandha Point Kolatoli,,,directory listing,80,separate WhatsApp booking line
Hotel Pink Shore,Coxs Bazar,Sugandha,,business,+8801819900049,,,,,House 26 Block B Sugandha Point Kolatoli,,,directory listing,80,listed among most-booked 3-star
Hotel Marine Plaza,Coxs Bazar,Sugandha,,business,+8801810004580,,,,https://www.facebook.com/MarinePlazaCox/,Kalatali Main Road Sugandha Point,,,directory listing,80,active Facebook page
Inani Royal Resort Ltd,Coxs Bazar,Inani,,resort,+8801952227741,+8801332525664,,,https://www.facebook.com/InaniRoyalResortBD/,Marine Drive Road Inani Ukhia,,,directory listing,80,Inani beachfront independent
Impulse Ocean View,Coxs Bazar,Kolatoli,,business,+8801312737011,,,https://www.hotelwhitebeachcox.com,,Plot 69 Block A PWD Kolatoli,,,directory listing,80,shares web presence with Hotel White Beach
Hotel Sea Hill,Coxs Bazar,Kolatoli,,business,+8801820202019,,,,,Block C Plot 1 Sea Beach R/A Kolatoli Main Road,,,directory listing,78,independent mid-size
Hotel Sea Princess,Coxs Bazar,Hotel Motel Zone,,business,+8801819211565,,,,https://www.facebook.com/ContinentSeaPrincess/,Road 1 Hotel-Motel Zone,,,directory listing,78,books mainly via Facebook
Hotel Esplanade,Coxs Bazar,Sugandha,,business,+8801601364873,,,,,Sugandha Point Main Road Block A Plot 17,,,directory listing,78,listed in 3-star set
Sea Breeze Resort,Coxs Bazar,Kolatoli,,resort,+8801799872473,,,,https://www.facebook.com/SeaBreezeResortCox/,Block B Plot 18 Kolatoli,,,directory listing,78,Facebook-led marketing
Resort Beach View,Coxs Bazar,Kolatoli,,resort,+8801813066196,+8801709956522,,,,Plot 10 Block C Kolatoli Main Road,,,directory listing,78,distinct WhatsApp booking line
UNI Resort Coxs Bazar,Coxs Bazar,Kolatoli,,resort,+8801713160176,+8801713160167,,,,Kolatoli Main Road,,,directory listing,78,two adjacent numbers published
Sun Oasis Resort,Coxs Bazar,Marine Drive,,resort,,+8801721222173,,,https://www.facebook.com/p/Sun-Oasis-Resort-61566524910327/,Marine Drive Road Kolatoli,,,facebook page,78,newer property; WhatsApp-only booking
La Bella Resort,Coxs Bazar,Inani,,resort,+8801842488875,+8801842488875,,,,Inani Beach Marine Drive,,,directory listing,78,Inani independent resort
Hotel Suite Sadaf,Coxs Bazar,Marine Drive,,boutique,+8801844010221,,,,,Marine Drive Road Kolatoli,,,directory listing,76,suite-format property
Exotica Sampan Hotel and Resort,Coxs Bazar,Marine Drive,,resort,+8801876000011,,,,,Marine Drive Road Kolatoli,,,directory listing,76,independent Marine Drive resort
Allegro Suites,Coxs Bazar,Kolatoli,,apartment,,+8801618000700,,,,Plot 65 Block A Kalatali Road,,,area guide,76,serviced suites format
Cox West Inn,Coxs Bazar,Kolatoli,,business,,+8801678090970,,,,Plot 12 Block A Kalatali Road,,,area guide,76,WhatsApp booking published
Hotel Reyadha International,Coxs Bazar,Sugandha,,business,,+8801711796576,,,,Plot 37 Block B Sugandha Point Kolatoli Road,,,area guide,76,direct-to-management booking
Hotel Tide Water,Coxs Bazar,Kolatoli,,business,,+8801727298800,,,,Plot 26 Block A Kolatoli Road Motel Zone,,,area guide,76,appears in 3-star most-booked list
Sailor Beach Resort,Coxs Bazar,Marine Drive,,resort,,+8801990959493,,,,Marine Drive Road Coxs Bazar,,,area guide,75,couples-oriented positioning
Hotel Sea Queen,Coxs Bazar,Laboni,,business,+8801819321888,+8801761196515,,,,Main Road Jhawtala near Sugandha Point,,,directory listing,74,town-side location
Modern Resort Coxs Bazar,Coxs Bazar,Marine Drive,,resort,+8801300511222,,,,,Marine Drive Road Kolatoli,,,directory listing,74,single published line
Coxs Bazar Surf Club Resort and Cafe,Coxs Bazar,Sugandha,,boutique,,+8801777786232,,,,Sugandha Point Kolatoli Road,,,area guide,74,small surf-themed boutique with cafe
Hotel S.A International,Coxs Bazar,Kolatoli,,business,,+8801841588244,,,,Block C Plot 46 Motel Zone Kalatali,,,area guide,74,WhatsApp-only booking
Lighthouse Family Retreat,Coxs Bazar,Kolatoli,,guesthouse,+8801321177763,,,,,House 84 Block A PWD R/A Light House Road Kalatali,,,directory listing,72,family-retreat format
Hotel Sea Palace Ltd,Coxs Bazar,Kolatoli,,business,+8801709934732,,,https://hotelseapalaceltd.com,https://www.facebook.com/hsplbd/,Kalatoli Road Coxs Bazar,,,own website,65,larger 4-star; may already run a PMS
La Vista Hotel,Sylhet,Lamabazar,35,boutique,+8801933009977,,lavistasylhet@gmail.com,https://lavistahotelbd.com,,VIP Road Lamabazar Sylhet 3100,,,own website,93,self-styled boutique hotel with 7 room types
Novem Eco Resort,Srimangal,Radhanagar,25,resort,+8801709882001,,sales@novemecoresort.com,https://novemecoresort.com,https://www.facebook.com/novemecoresort,Bishmani Radhanagar Sreemangal Moulvibazar,,,own website + directory,91,independent eco resort in tea belt
Hotel Holy Gate,Sylhet,Dargah Gate,52,business,+8801972552233,,,https://www.hotelholygate.com,,Holy Complex East Dargah Gate Sylhet 3100,,,own website,89,operating since 2012; 6 room categories
Lemon Garden Resort and Spa,Srimangal,Lawachara Road,,resort,+8801779626330,,lemongardenresort@gmail.com,https://lemongardenresort.com,https://www.facebook.com/lemongardenresortandspa,Lawachara Road Sreemangal Moulvibazar,,,directory + own site,87,gmail booking address suggests manual ops
Rangauti Resort,Srimangal,Taltala Kulaura Road,,resort,+8801780203350,,onlinebooking@rangautiresort.com,https://rangautiresort.com,https://www.facebook.com/RangautiResort,Taltala Bazar Kulaura Road Sreemangal,,,own website + directory,86,lakeside independent resort
Shuktara Nature Retreat,Sylhet,Khadimnagar,21,resort,+8801764543535,,,https://shuktararetreat.com,https://www.facebook.com/ShuktaraNatureRetreat,Uddin Hills Shahporan Uposhohor Khadimnagar Sylhet,,,own website + tripadvisor,85,eco retreat; four hotline numbers listed
Tea Heaven Resort,Srimangal,Uttarsur Habiganj Road,,resort,+8801708033544,,teaheavenresort@gmail.com,https://teaheavenresortbd.com,https://www.facebook.com/teaheavenresort,Uttarsur Habiganj Road Sreemangal,,,directory,85,budget eco resort with pool
Balishira Resort,Srimangal,Radhanagar,,resort,+8801766557760,,balishiraresort@gmail.com,https://balishiraresort.com,https://www.facebook.com/BalishiraResort,Radhanagar Sreemangal Moulvibazar,,,own website,84,five villa/cottage types; gmail reservations
Richmond Hotel and Apartments,Sylhet,Zindabazar,35,apartment,+8801721509598,,,,,10th Floor Al Hamra Shopping City Hazrat Shahjalal Road Zindabazar,,,tripadvisor + directory,84,serviced apartments built 2006
Grand Selim Resort and Tour,Srimangal,Ramnagar,,resort,+8801678173185,,reservation@grandselimresort.com,https://grandselimresort.com,https://www.facebook.com/grandselimresort.gsrt,Ramnagar Manipuri Para Sreemangal,,,directory,83,independent family-run resort
Hotel Mira Garden,Sylhet,Mirabazar,51,business,+8801938112244,,,,,Mira Tower Tamabil Road Mirabazar Sylhet,,,tripadvisor + directory,82,51 rooms with sauna and restaurant
Nirvana Inn,Sylhet,Mirzajangal,,business,+8801711336761,,,https://www.nirvanainn.com,https://www.facebook.com/HotelNirvanaInn,Mirzajangal Sylhet 3100,,,own website,82,long-running independent city hotel
Tea Villa Luxury Resort,Srimangal,Bhairabganj,,resort,+8801712993633,,info@teavillaresort.com,https://teavillaresort.com,https://www.facebook.com/TeaVillaResortBD,Mazdihi Bhairabganj Bazar Sreemangal,,,directory,82,independent luxury tea-country resort
Britannia Hotel,Sylhet,Ambarkhana,69,business,+8801784646565,,,https://www.britanniahotelsylhet.com,https://www.facebook.com/britanniahotelsylhet,B-95 Waves Shahjalal Road Ambarkhana Sylhet 3100,,,tripadvisor + directory,81,69 rooms; upper end of target size
Hotel Fortune Garden,Sylhet,Naiorpul,,business,+8801705444111,,,https://hotelfortunegardenbd.com,,29/A Bongobir Road Naiorpul Sylhet 3100,,,own website,81,dated rooms per reviews; likely manual ops
Shanti Bari Eco Resort,Srimangal,Radhanagar,,resort,+8801716189288,,contact@shantibari.com,https://shantibari.com,https://www.facebook.com/shantibari,Radhanagar Sreemangal Moulvibazar,,,directory,80,well-known independent eco resort
Royal Mark Hotel,Sylhet,Mirboxtula,,business,+8801319700900,,info@hotelroyalmark.com,https://www.hotelroyalmark.com,https://www.facebook.com/royalmarkhotelsylhet,102 Azadi Mirboxtula Sylhet,,,own website,80,14 storeys; 6 room types; banquet hall
Hiltown Hotel,Sylhet,Taltola,20,business,+8801758366051,,,https://hiltownhotel.com,,VIP Road Telihaor Taltola Sylhet 3100,,,own website + tripadvisor,80,small 20-room independent; founded 1980
Swiss Valley Resort,Moulvibazar,Shamsher Nagar,,resort,+8801786493700,,swissvalley1@yahoo.com,https://swissvalleysn.com,https://www.facebook.com/swissvalleyresort,Shamsher Nagar near Air Base Moulvibazar,,,directory,80,yahoo address signals paper-run back office
Hotel Valley Garden,Sylhet,Sobhanighat,,business,+8801938844501,,,https://hotelvalleygarden.com,https://www.facebook.com/HotelValleyGardenSyl,Sylhet Tower Sobhanighat Bishwa Road Sylhet 3100,,,directory + own site,79,multiple landline and mobile lines published
